IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments (For IXP_Url_Stats; if the PCH_url is used; there will be an *),Date_check_Stats (For IXP_Url_Stats)
US,148,345,13,SIX (Seattle Internet Exchange),Seattle Internet Exchange,SIX Seattle,Seattle,North America,2010-07-29T00:00:00Z,19970620,2019/7/28,2019-08-07T00:01:23Z,https://www.seattleix.net/,https://www.seattleix.net/statistics/,"['https://www.seattleix.net/statistics/agg.cfg-agg-d-y3.png', 'https://www.seattleix.net/statistics/agg_ethertypes.cfg-agg_ethertype_ipv6-d-y3.png', 'https://www.seattleix.net/statistics/agg.cfg-agg-d-y3.png', 'https://www.seattleix.net/statistics/agg_ethertypes.cfg-agg_ethertype_ipv6-d-y3.png']",OK,2019/7/11
US,138,320,14,NYIIX (New York International IX),New York International Internet Exchange,NYIIX,New York,North America,2010-07-29T00:00:00Z,19960000,2019/7/28,2019-06-17T17:47:54Z,https://www.nyiix.net/locations/nyiix-new-york/,https://www.nyiix.net/mrtg/sum.html,['http://www.nyiix.net/mrtg/graph_4469.png'],OK,2019/7/11
GB,1,62,18,LINX LON1,London Internet Exchange,LINX LON1,London,Europe,2010-07-29T00:00:00Z,19941108,2018/8/22,2019-08-07T13:04:58Z,https://www.linx.net/,https://stats.linx.net/,,OK,2019/7/11
AU,108,9,21,WA-IX,Western Australian Internet Association,IX Australia WA,Perth/WA,Australia,2010-07-29T00:00:00Z,19970000,2019/7/28,2019-08-07T01:01:38Z,http://www.ix.asn.au,https://metrics.ix.asn.au,['https://metrics.ix.asn.au/render/dashboard-solo/db/ix-aggregates?orgId=2&from=now-1d&to=now&panelId=5&var-polling_interval=5m&theme=light&width=600&height=400'],OK (Grafana home page linked to IX aggregates Overview and Peers),2019/7/11
US,137,297,23,NYIIX Los Angeles,Los Angeles International Internet Exchange,NYIIX Los Angeles,Los Angeles,North America,2010-07-29T00:00:00Z,19960000,2018/9/28,2019-06-17T17:48:00Z,https://www.nyiix.net/locations/nyiix-la/,https://www.nyiix.net/LA-mrtg/sum.html,,OK,2019/7/11
CA,163,39,24,TorIX (Toronto Internet Exchange),Toronto Internet Exchange,TorIX,Toronto,North America,2010-07-29T00:00:00Z,19980724,2019/7/28,2019-08-07T13:04:58Z,https://www.torix.ca/,https://www.torix.ca/traffic-statistics/,['https://www.torix.ca/img/torix-day.png'],OK,2019/7/11
NL,2,160,26,AMS-IX,Amsterdam Internet Exchange,AMS-IX,Amsterdam,Europe,2010-07-29T00:00:00Z,19971229,2019/7/28,2019-08-07T13:04:58Z,http://www.ams-ix.net/,https://www.ams-ix.net/statistics/,"['https://stats.ams-ix.net/cgi-bin/stats/16all?log=totalall;png=daily', 'https://stats.ams-ix.net/cgi-bin/stats/sflow_grapher?type=ipv6;counter=bps;scale=normal;interval=daily', 'https://stats.ams-ix.net/cgi-bin/stats/16all?log=totalall;png=daily', 'https://stats.ams-ix.net/cgi-bin/stats/sflow_grapher?type=ipv6;counter=bps;scale=normal;interval=daily']",Not OK (traffic data graphs available at https://www.ams-ix.net/ams/documentation/total-stats),2019/7/11
CH,22,236,29,Equinix Zurich (Equinix Internet Exchange - Zurich),Equinix Zurich,Equinix Zurich,Zurich,Europe,2010-07-29T00:00:00Z,19990000,2008/1/13,2019-08-07T13:04:58Z,https://www.equinix.ch/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/,,Not OK (No graph),2019/7/11
JP,44,129,30,JPIX - Tokyo (Japan Internet Exchange - Tokyo),Japan Internet Exchange,JPIX TOKYO,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,19970700,2019/7/28,2019-06-17T06:42:25Z,https://www.jpix.ad.jp/en/,https://www.jpix.ad.jp/en/technical_traffic.php,['https://www.jpix.ad.jp/en/img/TOTAL.In_e.png'],OK,2019/7/11
DE,9,83,31,DE-CIX FRA (DE-CIX Frankfurt),Deutscher Commercial Internet Exchange DE-CIX Frankfurt,DE-CIX Frankfurt,Frankfurt,Europe,2010-07-29T00:00:00Z,19950500,2019/7/28,2019-08-07T13:04:58Z,https://fra.de-cix.net,https://www.de-cix.net/en/locations/germany/frankfurt/statistics,"['https://www.de-cix.net/traffic_FRA-2days-1170-400.png', None, 'https://www.de-cix.net/traffic_FRA-2days-1170-400.png', None]",OK,2019/7/11
CH,7,231,33,CIXP (CERN Internet Exchange Point),CERN Internet Exchange Point,CIXP,Geneva,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-06-07T15:00:42Z,http://www.cixp.net/,http://cixp.net/technical/members-traffic,['https://netstat.cern.ch/monitoring/network-statistics/ext/graphit.php?title=CIXP-Total-Traffic&custom=EXT&rrdpath=CIXP_CIXP-Total-Traffic'],OK,2019/7/11
FR,32,78,34,SFINX (Service for French Internet eXchange),Service for French Internet Exchange,SFINX,Paris,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-05-28T06:05:44Z,http://www.sfinx.fr/,,['https://pasillo.renater.fr/ma/SFINX_Stats.png'],*OK (Only daily),2019/8/8
IT,8,,35,MIX (Milan Internet Exchange),,MIX-IT,Milan,Europe,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.mix-it.net/,http://www.mix-it.net/statistics/cgi-bin/14all-Totale_globale.cgi?log=totaltraffic_global,,OK,2019/7/11
FR,,77,40,,PARIX,PARIX,Paris,Europe,2010-07-29T00:00:00Z,20010000,0000-00-00,,http://www.parix.net/,http://www.parix.net/cgi-bin/mrtg-rrd.cgi/giga.parix.net_total.html,,Not OK (connection time out),2019/7/11
US,,,41,,,NYCX,New York,North America,2010-07-29T00:00:00Z,,,,http://www.nycx.net/,http://www.nycx.net/index.php?page=Traffic,,Not OK (name not resolved),2019/7/11
HK,110,,42,HKIX (Hong Kong Internet Exchange),,HKIX,Hong Kong,Asia Pacific,2010-07-29T00:00:00Z,,,2019-05-28T18:13:59Z,https://www.hkix.net/,https://www.hkix.net/hkix/stat/aggt/hkix-aggregate.html,,OK,2019/7/11
TW,113,238,43,TWIX - Taipei (Taiwan Internet Exchange),Taiwan Internet Exchange,TWIX,Taipei,Asia Pacific,2010-07-29T00:00:00Z,19971200,2019/1/30,2019-08-07T13:04:57Z,https://www.twix.net/index_e.html,https://www.twix.net/all_e.html,"['https://www.twix.net/twix-traffic/summary-day.png', None]",OK,2019/7/11
IE,20,116,48,INEX LAN1 (Internet Neutral Exchange Association Limited by Guarantee),Internet Neutral Exchange Association Limited,INEX LAN1,Dublin,Europe,2010-07-29T00:00:00Z,19960000,2019/7/28,2019-08-07T13:04:58Z,https://www.inex.ie/,https://www.inex.ie/ixp/statistics/ixp,['https://www.inex.ie/ixp/grapher/ixp?id=1&type=png'],OK,2019/7/11
AT,3,15,50,VIX (Vienna Internet Exchange),Vienna Internet Exchange,VIX,Vienna,Europe,2010-07-29T00:00:00Z,19960400,2019/7/28,2019-08-05T11:01:16Z,http://www.vix.at,https://www.vix.at/vix_statistics.html,"['https://www.vix.at/typo3conf/ext/vixSum/graph.php?86400', 'https://www.vix.at/typo3conf/ext/vixSum/ip_specific_graph.php?time=86400&address_family=6']",OK,2019/7/11
GB,18,64,53,LONAP Network (LONAP Ltd.),London Network Access Point,LONAP,London,Europe,2010-07-29T00:00:00Z,19980000,2019/8/7,2019-08-07T00:01:41Z,https://www.lonap.net/,https://www.lonap.net/bandwidth.shtml,['https://www.lonap.net/mrtg/lonap-total-day.png'],OK,2019/7/11
HU,55,99,55,BIX (Budapest Internet Exchange),Budapest Internet Exchange,BiX,Budapest,Europe,2010-07-29T00:00:00Z,19960000,2019/7/28,2019-06-16T23:26:47Z,http://bix.hu/en,http://bix.hu/en/statistics,"['http://stats.bix.hu/graph.cgi?type=Octets&portid=aggregated&start=1563105059&end=1563191459', 'http://stats.bix.hu/graph.cgi?type=Octets&portid=aggregated&start=1563105059&end=1563191459']",OK (Links to member traffic graphs),2019/7/11
BE,4,17,59,BNIX (Belgian National Internet Exchange),Belgian National Internet Exchange,BNIX,Brussels,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-05-27T12:53:59Z,https://www.bnix.net,https://bnix.net/en/content/figures,"['https://ftp.belnet.be/images/total-newbnix-daily.png', 'https://ftp.belnet.be/images/total-newbnix-daily.png']",Not OK (No graph),2019/7/11
CH,34,234,60,Infrastructure #1 (SwissIX Internet Exchang),SwissIX,SwissIX,Zurich,Europe,2010-07-29T00:00:00Z,20010309,2019/7/28,2019-08-07T13:04:58Z,https://www.swissix.ch/,https://www.swissix.net/infrastructure/traffic,['https://www.swissix.ch/ss/trafficplotnew.php?id=99&mode=1day'],OK,2019/7/11
ES,11,211,62,CATNIX (Catalunya Neutral Internet eXchange),Catalunya Neutral Internet Exchange Point,CATNIX,Barcelona,Europe,2010-07-29T00:00:00Z,19990407,2019/6/10,2019-08-07T13:04:58Z,http://www.catnix.net,http://www.catnix.net/en/statistics/,"['http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1', 'http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1']",OK,2019/7/11
ES,62,213,63,ESPANIX Madrid Lower LAN,Punto Neutro Espa??ol de Internet,ESPANIX Madrid Lower LAN,Madrid,Europe,2010-07-29T00:00:00Z,19970000,2019/7/15,2019-06-16T23:51:34Z,http://www.espanix.net,http://stats.espanix.net/,"['http://stats.espanix.net/graphs/graph_3893_1.png', 'http://stats.espanix.net/graphs/graph_3893_1.png']",OK,2019/7/11
NL,27,572,64,NL-ix,Neutral Internet Exchange,NL-ix,Amsterdam,Europe,2010-07-29T00:00:00Z,20020301,2019/7/28,2019-08-07T13:04:58Z,https://www.nl-ix.net/,https://www.nl-ix.net/traffic.php,"['https://www.nl-ix.net/trafficImg.php', 'https://www.nl-ix.net/trafficImg.php']",OK,2019/7/11
FR,31,71,69,lyonix,Lyon Internet Exchange,LyonIX,Lyon,Europe,2010-07-29T00:00:00Z,20100601,2019/8/7,2019-08-07T13:04:58Z,http://www.lyonix.net/,http://noc.rezopole.net/,"['https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_lyonix/lyonix-day.png', 'https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_lyonix/lyonix-day.png']",OK,2019/7/11
SE,5,227,70,Netnod - Stockholm (Netnod - Stockholm),Netnod Stockholm,Netnod Stockholm,Stockholm,Europe,2010-07-29T00:00:00Z,19970000,2019/7/28,2019-08-07T13:04:58Z,http://www.netnod.se,http://www.netnod.se/ix/statistics/,"['https://www.netnod.se/ix-stats/sums/Stockholm_day_sum.png', 'https://www.netnod.se/ix-stats/sums/Stockholm_day_sum.png']",OK,2019/7/11
CZ,15,55,71,NIX.CZ (NIX.CZ  z.s.p.o.),NIX.CZ - Neutral Internet eXchange for the Czech Republic,NIX.CZ,Prague,Europe,2010-07-29T00:00:00Z,19960831,2019/7/28,2019-08-06T14:00:18Z,http://www.nix.cz/,https://www.nix.cz/en/port/mrtg2/nix-all,['https://www.nix.cz/mrtg/NIX/nix-all-day.png'],OK,2019/7/11
PT,10,186,72,GIGAPIX (Gigabit Portuguese Internet Exchange),Gigabit Portuguese Internet Exchange Point,GigaPIX,Lisbon,Europe,2010-07-29T00:00:00Z,19951000,2019/7/28,2019-04-16T11:00:55Z,http://www.gigapix.pt,https://gigapix.pt/pt/informacao-tecnica/estatisticas-de-trafego/,"['https://193.137.196.180:8001/', 'https://193.137.196.180:8001/']",OK,2019/7/11
DE,77,89,73,ECIX-MUC,European Commercial Internet Exchange Munich,ECIX-MUC / INXS by ecix,Munich,Europe,2010-07-29T00:00:00Z,19940600,2015/10/31,2019-06-16T23:58:56Z,https://www.ecix.net,https://www.ecix.net/infrastructure/statistics,,OK (should click the link),2019/7/11
DE,47,88,74,DE-CIX HAM (DE-CIX Hamburg),DE-CIX Hamburg,DE-CIX Hamburg,Hamburg,Europe,2010-07-29T00:00:00Z,20070000,2019/7/28,2019-08-06T13:02:11Z,https://ham.de-cix.net,https://www.de-cix.net/locations/germany/hamburg/statistics,"['https://www.de-cix.net/traffic_HAM-2days-1170-400.png', 'https://www.de-cix.net/traffic_HAM-2days-1170-400.png']",OK,2019/7/11
DK,29,,78,DIX,,DIX,Copenhagen,Europe,2010-07-29T00:00:00Z,,,2019-06-19T21:27:13Z,http://www.dix.dk/,http://www.dix.dk/,,OK,2019/7/11
NO,19,,83,NIX1 (Norwegian Internet eXchange),,NIX1,Oslo,Europe,2010-07-29T00:00:00Z,,,2019-05-27T21:21:42Z,https://www.nix.no,https://www.nix.no/statistics/,,OK,2019/7/11
SK,89,204,84,SIX Bratislava (Slovak Internet eXchange Bratislava),Slovak Internet eXchange Bratislava,SIX.SK,Bratislava,Europe,2010-07-29T00:00:00Z,19961000,2019/8/7,2019-07-30T14:01:23Z,http://www.six.sk,http://www.six.sk/stats,['https://www.six.sk/stats/aggregated-day.png'],OK,2019/7/11
DE,21,80,87,BCIX (BCIX Management GmbH),Berlin Commercial Internet Exchange,BCIX,Berlin,Europe,2010-07-29T00:00:00Z,20020906,2019/7/28,2019-08-05T12:01:12Z,https://www.bcix.de/,https://www.bcix.de/bcix/traffic/,['https://www.bcix.de/ixp/bcix/ixp001-bits-day.png'],OK,2019/7/11
US,267,,89,MadIX (Madison Internet eXchange Peering Point),,MadIX,Madison,North America,2010-07-29T00:00:00Z,,,2019-06-17T23:11:08Z,http://kb.wisc.edu/ns/page.php?id=6636,http://stats.net.wisc.edu/madix.html,,OK,2019/7/11
DE,340,82,91,ECIX-DUS,European Commercial Internet Exchange D¨¹sseldorf,ECIX-DUS,Duesseldorf,Europe,2010-07-29T00:00:00Z,20030000,2012/1/23,2019-06-16T23:59:22Z,https://www.ecix.net/,https://www.ecix.net/infrastructure/statistics,,OK (should click the link),2019/7/11
JP,441,134,92,DIX-IE (Distributed IX in EDO),Network Service Provider IXP (Distributed IX in Edo),DIX-IE,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,19961000,2014/9/20,2019-06-18T22:09:54Z,http://nspixp.wide.ad.jp/,http://nspixp.wide.ad.jp/2/,,Not OK (requested URL not found on the server),2019/7/11
JP,42,,95,JPNAP - Tokyo (Japan Network Access Point - Tokyo),,JPNAP Tokyo,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.jpnap.net/en/,https://www.jpnap.net/en/tokyo/traffic.html,,OK,2019/7/11
PL,85,185,96,WIX - Poland (Warsaw Internet eXchange),Warsaw Internet Exchange,WIX,Warsaw,Europe,2010-07-29T00:00:00Z,19960000,2009/12/15,2019-06-17T06:49:00Z,http://www.wix.net.pl/,http://www.wix.net.pl/vxb/w/index.asp?statystyki_x=statystyki,,Not OK (requested URL not found on the server),2019/7/11
NZ,126,164,97,APE - Auckland (Auckland Peering Exchange),Auckland Peering Exchange,APE,Auckland,Australia,2010-07-29T00:00:00Z,19990810,2019/7/15,2019-06-18T08:39:12Z,http://ape.nzix.net/,,['http://ape.nzix.net/ape2.png'],*OK (Two day - based),2019/8/8
FI,23,69,98,FICIX - Helsinki (Finnish Communication and Internet Exchange - Helsinki),Finnish Communication and Internet Exchange Helsinki,FICIX 2 (Helsinki),Helsinki,Europe,2010-07-29T00:00:00Z,19930000,2013/3/20,2019-05-27T22:18:32Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,,OK,2019/7/11
RU,13,191,100,msk-ix (MSK-IX public peering VLAN),MSK-IX Moscow,MSK-IX Moscow,Moscow,Europe,2010-07-29T00:00:00Z,19951125,2016/6/6,2019-08-07T13:04:58Z,http://www.msk-ix.ru/en,http://www.msk-ix.ru/en/traffic,,OK,2019/7/11
RU,87,195,107,spb-ix (SPB-IX public peering VLAN),MSK-IX St. Petersburg,MSK-IX Saint-Petersburg,St.Petersburg,Europe,2010-07-29T00:00:00Z,20090000,2016/6/6,2019-07-04T14:10:04Z,http://www.msk-ix.ru/en/ix/spb,http://www.msk-ix.ru/en/traffic/,,OK,2019/7/11
IT,14,121,115,TOP-IX (Torino Piemonte Exchange Point),Torino Piemonte Exchange Point,TOP-IX,Turin,Europe,2010-07-29T00:00:00Z,20020400,2019/7/28,2019-08-07T13:04:58Z,http://www.top-ix.org,http://www.top-ix.org/traffic-summary,"['http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily', 'http://mrtg.top-ix.org/cgi-bin/14all.cgi?log=exchangedtraffic&cfg=exchangedtraffic.cfg&png=daily']",OK,2019/7/11
BR,215,29,119,Equinix S??o Paulo,Equinix S??o Paulo,Equinix S??o Paulo,S??o Paulo,South America,2010-07-29T00:00:00Z,19980000,0000-00-00,2019-06-06T21:26:27Z,https://www.equinix.com,https://ix.equinix.com,,Not OK (No graph),2019/7/11
IT,17,,121,NAMEX (NAMEX Roma IXP),,NaMeX Rome IXP,Rome,Europe,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.namex.it,https://www.namex.it/statistics,,OK,2019/7/11
DE,78,556,123,KleyReX (KleyReX),KleyReX Internet Exchange,KleyReX,Frankfurt,Europe,2010-07-29T00:00:00Z,20020900,2011/2/1,2019-08-06T17:01:39Z,http://www.kleyrex.net/,http://www.kleyrex.net/stats.html,,Not OK (need to login),2019/7/11
US,256,286,127,OIX (Oregon Internet Exchange),Oregon Internet Exchange,Oregon Internet Exchange (OIX),Eugene  Oregon,North America,2010-07-29T00:00:00Z,0,0000-00-00,2019-06-17T14:41:01Z,http://www.oregon-ix.net/,http://www.oregon-ix.net/stat-frme.html,,Not OK (requested URL not found on the server),2019/7/11
SE,91,228,128,SOLIX - Stockholm (SOLIX),SOLIX,SOLIX,Stockholm,Europe,2010-07-29T00:00:00Z,20011200,2019/7/28,2019-05-28T06:09:22Z,https://www.sol-ix.net,,"['http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0', 'http://cacti.lidnet.net/graph_image.php?local_graph_id=4102&rra_id=0']",*OK (Two links are the same),2019/8/8
JP,120,,145,JPNAP - Osaka (Japan Network Access Point - Osaka),,JPNAP Osaka,Osaka,Asia Pacific,2010-07-29T00:00:00Z,,,2019-06-17T14:04:42Z,https://www.jpnap.net/en/,https://www.jpnap.net/en/osaka/traffic.html,,OK,2019/7/11
US,223,369,155,SFMIX (San Francisco Metropolitan Internet Exchange),San Francisco Metropolitan Internet Exchange,SFMIX,San Francisco,North America,2010-07-29T00:00:00Z,20060500,2019/7/28,2019-06-19T01:29:11Z,https://www.sfmix.org/,https://sfmix.org/services/statistics,"['https://sfmix.org/static/img/daily.gif', 'https://sfmix.org/static/img/daily.gif']",*OK,2019/8/8
BR,791,,171,IX.br (PTT.br) S??o Paulo,,IX.br (PTT.br) S??o Paulo,S??o Paulo/SP,South America,2010-12-11T00:00:00Z,,,2019-06-17T21:05:12Z,http://ix.br,http://ix.br/trafego/agregado/sp,,OK,2019/7/11
SE,144,,172,STHIX - Stockholm (Stockholm Internet eXchange AB),,STHIX - Stockholm,Stockholm,Europe,2010-07-29T00:00:00Z,,,2019-08-07T12:01:37Z,http://www.sthix.net/,http://www.sthix.net/,,OK,2019/7/11
BR,158,1092,173,Porto Alegre (RS) (IX.br - Porto Alegre (RS)),Ponto de Troca de Trafego do Porto Alegre,IX.br (PTT.br) Porto Alegre,Porto Alegre/RS,South America,2010-12-11T00:00:00Z,20020400,2019/7/28,2019-06-17T20:23:16Z,http://ix.br,http://ix.br/trafego/agregado/rs,['http://old.ix.br/stats/133b7f1cd0adde227ab9f48e68a4b82f/rs/images/pix/agregado_bps-daily.png'],OK,2019/7/11
BR,156,21,174,Curitiba (PR) (IX.br - Curitiba (PR)),Ponto de Troca de Tr¨¢fego do Paran¨¢,IX.br (PTT.br) Curitiba,Curitiba/PR,South America,2010-12-11T00:00:00Z,20020600,2017/11/9,2019-06-17T20:20:19Z,http://ix.br,http://ix.br/trafego/agregado/pr,,OK,2019/7/11
BR,157,22,175,Florian¨®polis (SC) (IX.br - Florian¨®polis (SC)),Ponto de Troca de Tr¨¢fego do Florian¨®polis,IX.br (PTT.br) Florian¨®polis,Florian¨®polis/SC,South America,2010-12-11T00:00:00Z,20080000,2019/7/28,2019-06-17T20:22:48Z,http://ix.br,http://ix.br/trafego/agregado/sc,['http://old.ix.br/stats/be779630c4bfd20baffc23b9b9a513ac/sc/images/pix/agregado_bps-daily.png'],OK,2019/7/11
BR,154,19,176,Belo Horizonte (MG) (IX.br - Belo Horizonte (MG)),Ponto de Troca de Tr¨¢fego do Belo Horizonte,IX.br (PTT.br) Belo Horizonte,Belo Horizonte/MG,South America,2010-12-11T00:00:00Z,20100100,2019/7/28,2019-06-17T06:54:32Z,http://ix.br,http://ix.br/trafego/agregado/mg,['http://old.ix.br/stats/bbaec3801638d06029a23d912c2a2e3c/mg/images/pix/agregado_bps-daily.png'],OK,2019/7/11
BR,159,415,177,Rio de Janeiro (RJ) (IX.br - Rio de Janeiro (RJ)),Ponto de Troca de Tr¨¢fego do Rio de Janeiro,IX.br (PTT.br) Rio de Janeiro,Rio de Janeiro/RJ,South America,2010-12-11T00:00:00Z,20100000,2019/7/28,2019-06-17T20:23:47Z,http://ix.br/,http://ix.br/trafego/agregado/rj,"['http://old.ix.br/stats/b7fb718114f447c323641f962a7be869/rj/images/pix/agregado_bps-daily.png', 'http://old.ix.br/images/pix/agregado-bps6_bps-daily1_rj.png', 'http://old.ix.br/stats/b7fb718114f447c323641f962a7be869/rj/images/pix/agregado_bps-daily.png', 'http://old.ix.br/images/pix/agregado-bps6_bps-daily1_rj.png']",OK,2019/7/11
